Output Data (20 mutations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d sum True,d sum MV,d sum DBMC,d sym Mc1,d sum mc2,d sum mc3,d sum mc4,d sum mc5,d MV,d DBMC,d mc1,d mc2,d mc3,d mc4,d mc5,d i1,d i2,d i3,d i4,d i5,an MV,an DBMC,an mc1,an mc2,an mc3,an mc4,an mc5,an i1,an i2,an i3,an i4,an i5,c MV,c DBMC,c mc1,c mc2,c mc3,c mc4,c mc5,c i1,c i2,c i3,c i4,c i5,combined(0) MV,comb dbmcc,comb mc1,comb mc2,comb mc3,comb mc4,comb mc5,comb i1,comb i2,comb i3,comb i4,comb i5,combined(0.3) MV,comb dbmcc,comb mc1,comb mc2,comb mc3,comb mc4,comb mc5,comb i1,comb i2,comb i3,comb i4,comb i5,combined(0.5) MV,comb dbmcc,comb mc1,comb mc2,comb mc3,comb mc4,comb mc5,comb i1,comb i2,comb i3,comb i4,comb i5,combined(0.7) MV,comb dbmcc,comb mc1,comb mc2,comb mc3,comb mc4,comb mc5,comb i1,comb i2,comb i3,comb i4,comb i5,combined(1) MV,comb dbmcc,comb mc1,comb mc2,comb mc3,comb mc4,comb mc5,comb i1,comb i2,comb i3,comb i4,comb i5,
580,580,468,472,530,530,616,966,0,68,68,54,54,20,130,190,0,68,200,122,1,1,1,0.952095808,0.952095808,0.952095808,0.419161677,0.946107784,1,1,0.934131737,0.97005988,1,0.966666667,0.966666667,0.947619048,0.947619048,0.952380952,0.904761905,0.880952381,1,0.966666667,0.871428571,0.904761905,1,0.961603614,0.961603614,0.969508752,0.969508752,0.988706945,0.926595144,0.89271598,1,0.961603614,0.887069452,0.931112366,1,0.961053564,0.961053564,0.973100571,0.973100571,0.988368154,0.948616601,0.897314979,1,0.961053564,0.880948617,0.920286943,1,0.960686864,0.960686864,0.975495117,0.975495117,0.988142292,0.963297572,0.900380978,1,0.960686864,0.876868059,0.913069995,1,0.960320165,0.960320165,0.977889663,0.977889663,0.987916431,0.977978543,0.903446978,1,0.960320165,0.872787502,0.905853047,1,0.959770115,0.959770115,0.981481481,0.981481481,0.98757764,1,0.908045977,1,0.959770115,0.866666667,0.895027624, 
710,1170,672,744,1096,1038,1100,1066,198,40,70,158,156,164,164,182,124,74,222,108,0.733333333,0.866666667,0.866666667,0.283333333,0.35,0.35,0.35,0.941666667,0.816666667,0.95,1,0.958333333,0.942857143,0.966666667,0.914285714,0.880952381,0.942857143,0.80952381,0.923809524,0.928571429,0.90952381,0.923809524,0.985714286,0.933333333,0.888198758,0.97741389,0.960474308,0.910784867,0.911914173,0.907396951,0.907396951,0.897233202,0.92998306,0.958215697,0.874647092,0.939017504,0.92173913,0.965270804,0.884576914,0.937549407,0.938339921,0.935177866,0.935177866,0.89711086,0.928346633,0.94655744,0.814500155,0.935538059,0.944099379,0.957175414,0.833978651,0.955392434,0.955957086,0.953698475,0.953698475,0.897029299,0.927255681,0.938785268,0.774402198,0.93321843,0.966459627,0.949080023,0.783380388,0.97323546,0.973574252,0.972219085,0.972219085,0.896947738,0.926164729,0.931013096,0.73430424,0.9308988,1,0.936936937,0.707482993,1,1,1,1,0.896825397,0.924528302,0.919354839,0.674157303,0.927419355, 
456,482,470,482,482,600,608,968,10,6,10,10,78,80,158,112,92,20,68,164,1,1,1,1,0.937007874,0.937007874,0.818897638,0.976377953,0.94488189,1,0.937007874,1,0.976190476,0.985714286,0.976190476,0.976190476,0.966666667,0.957142857,0.976190476,0.980952381,0.933333333,0.980952381,0.961904762,0.952380952,0.994353473,0.996612084,0.994353473,0.994353473,0.955957086,0.954827781,0.910784867,0.936758893,0.948051948,0.988706945,0.961603614,0.907396951,0.996047431,0.997628458,0.996047431,0.996047431,0.96916996,0.968379447,0.937549407,0.939700691,0.944886364,0.982934556,0.97312253,0.913280055,0.997176736,0.998306042,0.997176736,0.997176736,0.977978543,0.97741389,0.955392434,0.941661889,0.942775974,0.979086297,0.980801807,0.917202125,0.998306042,0.998983625,0.998306042,0.998306042,0.986787126,0.986448334,0.97323546,0.943623088,0.940665584,0.975238038,0.988481084,0.921124195,1,1,1,1,1,1,1,0.946564885,0.9375,0.969465649,1,0.927007299, 
616,626,602,626,630,670,670,832,40,24,40,20,40,40,90,158,178,78,72,130,1,1,1,1,0.978723404,0.978723404,0.914893617,0.957446809,1,1,0.978723404,1,0.947619048,0.971428571,0.947619048,0.952380952,0.952380952,0.952380952,0.947619048,0.861904762,0.938095238,0.938095238,0.947619048,0.880952381,0.97741389,0.986448334,0.97741389,0.988706945,0.97741389,0.97741389,0.949181254,0.910784867,0.899491813,0.955957086,0.959345003,0.926595144,0.981031829,0.978268936,0.981031829,0.992094862,0.984189723,0.984189723,0.964426877,0.907549407,0.864644269,0.954018445,0.953174155,0.885591391,0.983443787,0.972816004,0.983443787,0.994353473,0.988706945,0.988706945,0.974590627,0.905392434,0.841412573,0.952726018,0.949060257,0.858255555,0.985855746,0.967363072,0.985855746,0.996612084,0.993224167,0.993224167,0.984754376,0.90323546,0.818180877,0.951433591,0.944946358,0.83091972,0.989473684,0.959183673,0.989473684,1,1,1,1,0.9,0.783333333,0.949494949,0.93877551,0.789915966, 
790,692,540,638,706,706,706,914,122,110,130,112,112,112,44,240,142,140,130,138,1,1,0.957746479,1,1,1,1,1,1,1,1,1,0.919047619,0.957142857,0.942857143,0.923809524,0.923809524,0.923809524,0.895238095,0.957142857,0.99047619,0.957142857,0.942857143,0.942857143,0.931112366,0.937888199,0.926595144,0.936758893,0.936758893,0.936758893,0.97515528,0.864483343,0.919819311,0.920948617,0.926595144,0.922077922,0.871366285,0.859378882,0.854677207,0.877606225,0.877606225,0.877606225,0.982608696,0.77154459,0.819906576,0.838300395,0.845838823,0.842676768,0.831535564,0.807039337,0.806731915,0.838171113,0.838171113,0.838171113,0.98757764,0.709585421,0.753298085,0.783201581,0.792001276,0.789742665,0.791704844,0.754699793,0.758786624,0.798736001,0.798736001,0.798736001,0.992546584,0.647626253,0.686689595,0.728102767,0.738163728,0.736808562,0.731958763,0.676190476,0.686868687,0.739583333,0.739583333,0.739583333,1,0.5546875,0.58677686,0.645454545,0.657407407,0.657407407, 
242,290,290,290,290,290,290,668,12,12,12,12,12,12,110,68,88,0,34,52,1,1,1,1,1,1,0.571428571,1,0.928571429,1,0.928571429,1,0.971428571,0.971428571,0.971428571,0.971428571,0.971428571,0.971428571,0.914285714,0.980952381,0.923809524,1,0.952380952,0.947619048,0.993224167,0.993224167,0.993224167,0.993224167,0.993224167,0.993224167,0.937888199,0.961603614,0.950310559,1,0.980801807,0.970638058,0.995256917,0.995256917,0.995256917,0.995256917,0.995256917,0.995256917,0.956521739,0.961357824,0.94666069,1,0.986561265,0.956805131,0.996612084,0.996612084,0.996612084,0.996612084,0.996612084,0.996612084,0.968944099,0.961193964,0.944227444,1,0.990400903,0.94758318,0.99796725,0.99796725,0.99796725,0.99796725,0.99796725,0.99796725,0.98136646,0.961030104,0.941794199,1,0.994240542,0.938361229,1,1,1,1,1,1,1,0.960784314,0.93814433,1,1,0.924528302, 
622,310,294,310,310,310,654,702,110,104,110,110,110,126,138,104,118,142,110,148,0.906542056,0.906542056,0.906542056,0.906542056,0.906542056,0.186915888,0.186915888,0.906542056,0.925233645,0.728971963,0.906542056,0.841121495,0.938095238,0.952380952,0.938095238,0.938095238,0.938095238,0.938095238,0.838095238,0.952380952,0.90952381,0.857142857,0.938095238,0.871428571,0.937888199,0.941276115,0.937888199,0.937888199,0.937888199,0.928853755,0.922077922,0.941276115,0.933370977,0.919819311,0.937888199,0.916431395,0.918683901,0.921055443,0.918683901,0.918683901,0.918683901,0.950197628,0.945454545,0.921055443,0.892875813,0.850953164,0.911784897,0.864642472,0.905881036,0.907574995,0.905881036,0.905881036,0.905881036,0.964426877,0.961038961,0.907574995,0.865879037,0.805042399,0.894382696,0.830116524,0.893078171,0.894094546,0.893078171,0.893078171,0.893078171,0.978656126,0.976623377,0.894094546,0.838882261,0.759131634,0.876980495,0.795590575,0.873873874,0.873873874,0.873873874,0.873873874,0.873873874,1,1,0.873873874,0.798387097,0.690265487,0.850877193,0.743801653, 
592,824,710,664,780,896,926,900,180,114,152,130,146,152,152,140,80,110,158,104,0.745614035,0.736842105,0.736842105,0.596491228,0.307017544,0.570175439,0.570175439,0.815789474,0.780701754,0.736842105,0.815789474,0.736842105,0.923809524,0.919047619,0.938095238,0.89047619,0.876190476,0.904761905,0.904761905,0.933333333,0.857142857,1,0.923809524,0.842857143,0.898362507,0.935629588,0.914172784,0.926595144,0.9175607,0.914172784,0.914172784,0.920948617,0.954827781,0.937888199,0.910784867,0.941276115,0.915370609,0.954940711,0.891920949,0.935940544,0.94229249,0.939920949,0.939920949,0.866092603,0.952422,0.877574371,0.891185771,0.948548453,0.926709343,0.967814794,0.877086392,0.942170811,0.95878035,0.957086392,0.957086392,0.829521927,0.950818146,0.837365152,0.878119706,0.953396678,0.938048078,0.980688876,0.862251835,0.948401078,0.97526821,0.974251835,0.974251835,0.792951252,0.949214292,0.797155933,0.865053642,0.958244904,0.95505618,1,0.84,0.957746479,1,1,1,0.738095238,0.946808511,0.736842105,0.845454545,0.965517241, 
864,824,728,804,844,838,1012,1372,94,144,106,100,90,156,162,298,266,74,54,172,0.943089431,0.943089431,0.861788618,0.861788618,0.861788618,0.487804878,0.788617886,0.926829268,0.983739837,0.959349593,1,0.959349593,0.928571429,0.938095238,0.904761905,0.919047619,0.904761905,0.914285714,0.933333333,0.914285714,0.895238095,0.947619048,0.985714286,0.961904762,0.946922643,0.918690006,0.94014681,0.943534726,0.949181254,0.911914173,0.908526256,0.831733484,0.849802372,0.958215697,0.969508752,0.902879729,0.957761104,0.928328906,0.947193676,0.954918753,0.956169997,0.938339921,0.935968379,0.828256604,0.848707814,0.956234859,0.971513269,0.912968191,0.964986745,0.934754839,0.951891587,0.962508104,0.960829159,0.955957086,0.954263128,0.825938684,0.847978109,0.9549143,0.972849614,0.919693833,0.972212386,0.941180772,0.956589497,0.970097455,0.965488321,0.973574252,0.972557877,0.823620765,0.847248404,0.953593741,0.974185959,0.926419474,0.983050847,0.950819672,0.963636364,0.981481481,0.972477064,1,1,0.820143885,0.846153846,0.951612903,0.976190476,0.936507937, 
470,524,456,524,612,674,600,858,18,68,18,46,98,84,98,132,20,88,142,88,1,1,1,0.865168539,0.460674157,0.494382022,0.797752809,0.91011236,1,1,1,0.797752809,0.957142857,0.980952381,0.957142857,0.947619048,0.942857143,0.957142857,0.895238095,0.966666667,0.980952381,0.957142857,0.980952381,0.957142857,0.989836251,0.961603614,0.989836251,0.974025974,0.944664032,0.95256917,0.944664032,0.925465839,0.988706945,0.950310559,0.919819311,0.950310559,0.992885375,0.960219304,0.992885375,0.981818182,0.961264822,0.966798419,0.961264822,0.920859795,0.979191636,0.937666371,0.841651296,0.921843897,0.994918125,0.959296431,0.994918125,0.987012987,0.972332016,0.976284585,0.972332016,0.917789099,0.972848096,0.929236912,0.789539285,0.902866123,0.996950875,0.958373557,0.996950875,0.992207792,0.983399209,0.985770751,0.983399209,0.914718403,0.966504557,0.920807453,0.737427275,0.883888348,1,0.956989247,1,1,1,1,1,0.91011236,0.956989247,0.908163265,0.659259259,0.855421687, 
